"Title","Author","Price","Genre","Stock","Status","Condition","Format","Special Feature","Synopsis","ISBN","Publisher"
"Around the World in Eighty Days","Verne, Jules","75.0","Juvenile Fiction / Action & Adventure / General / Juvenile Fiction / Travel","","","","","","Shocking his stodgy colleagues at the exclusive Reform Club, enigmatic Englishman Phileas Fogg wagers his fortune, undertaking an extraordinary and daring enterprise: to circumnavigate the globe in eighty days. With his French valet Passepartout in tow, Verne's hero traverses the far reaches of the earth, all the while tracked by the intrepid Detective Fix, a bounty hunter certain he is on the trail of a notorious bank robber.","'9781858135816","Parragon"
"Black Beauty","Sewell, Anna|Gorham, Mrs. J. C.","99.0","Juvenile Fiction / Animals / General / Juvenile Fiction / Animals / Horses","","","","","","Anna Sewell's 1877 classic ""Black Beauty"" is considered to be one of the foremost works in animal welfare literature and a leading work in the children's pony book genre. Narrated by the horse himself, the book follows his trials and tribulations as he passes from one owner to another and experiences the full spectrum of human treatment -- from the knowledgeable and kind to the ignorant and cruel. Beloved by children and animal lovers alike, ""Black Beauty"" is now available as part of the ""Word Cloud Classics"" series, making it a chic and affordable addition to any library.","'9781858135175","Parragon"
"Amber Spyglass, The","Pullman, Philip","120.0","Juvenile Nonfiction / Curiosities & Wonders / Juvenile Nonfiction / History / Military & Wars / Juvenile Fiction / Action & Adventure / General / Juvenile Fiction / Animals / General / Juvenile Fiction / Fantasy & Magic","","","","","","The third volume in Philip Pullman's groundbreaking HIS DARK MATERIALS trilogy, now a thrilling, critically acclaimed BBC/HBO television series starring Ruth Wilson, James McAvoy, Dafne Keen and Amir Wilson. ""We're going to the land of the dead and we're going to come back."" Will and Lyra, whose fates are bound together by powers beyond their own worlds, have been violently separated. But they must find each other, for ahead of them lies the greatest war that has ever been - and a journey to a dark place from which no one has ever returned... this edition has a stunning cover from celebrated artist, Chris Wormell.","'9781407186122","Scholastic"
"Apple Tree Yard","Doughty, Louise","190.0","Fiction / General / Fiction / Erotica / General / Fiction / Psychological / Fiction / Thrillers / Suspense / Fiction / Thrillers / General / Fiction / Crime","","","","","","A stunning psychological thriller about a respected female scientist and the single reckless decision that leads to her standing trial for murder.","'9780571278640","Faber & Faber"
"Angels and Demons","Brown, Dan","200.0","Fiction / Thrillers / Suspense / Fiction / Thrillers / General","","","","","","CERN Institute, Switzerland: a world-renowned scientist is found brutally murdered with a mysterious symbol seared onto his chest. The Vatican, Rome: the College of Cardinals assembles to elect a new pope. Somewhere beneath them, an unstoppable bomb of terrifying power relentlessly counts down to oblivion. In a breathtaking race against time, Harvard professor Robert Langdon must decipher a labyrinthine trail of ancient symbols if he is to defeat those responsible - the Illuminati, a secret brotherhood presumed extinct for nearly four hundred years, reborn to continue their deadly vendetta against their most hated enemy, the Catholic Church.","'9780552159708","Corgi"
"Brief History of Time, A","Hawking, Stephen W.|Hawking, Stephen","120.0","Science / Physics / Relativity","","","","","","Was there a beginning of time? Could time run backwards? Is the universe infinite or does it have boundaries? These are just some of the questions considered in an internationally acclaimed masterpiece which begins by reviewing the great theories of the cosmos from Newton to Einstein, before delving into the secrets which still lie at the heart of space and time.","'9780553175219","Bantam Books"
"White Tiger, The","Adiga, Aravind","120.0","Fiction / General / Fiction / Classics / Fiction / Literary / Fiction / Mystery & Detective / General","","","","","","Balram Halwai is a complicated man. Servant. Philosopher. Entrepreneur. Murderer. Over the course of seven nights, by the scattered light of a preposterous chandelier, Balram tells the terrible and transfixing story of how he came to be a success in life -- having nothing but his own wits to help him along.","'9781843547228","Atlantic Books"
"Leopard, The","Nesbø, Jo","130.0","Fiction / Mystery & Detective / General / Fiction / Mystery & Detective / Police Procedural / Fiction / Mystery & Detective / International Crime & Mystery / Fiction / Thrillers / Suspense / Fiction / Crime / Fiction / World Literature / Norway","","","","","","In the depths of winter a killer stalks the city streets. Two women are found drowned in their own blood. A third woman is hanged from a diving board. YOU ARE ALLOWING THIS KILLING TO GO ON. The crime scenes offer no clues, the media is reaching fever pitch, and the police are running out of options. IT'S TIME THIS WAS STOPPED ... There is only one man who can help them catch the killer. But Inspector Harry Hole doesn't want to be found ... BECAUSE I HAVE APPOINTED THE NEXT VICTIM.","'9780099548973","Vintage Books"
"Bat, The","Nesbø, Jo","150.0","Fiction / General / Fiction / Mystery & Detective / General / Fiction / Mystery & Detective / Police Procedural / Fiction / Mystery & Detective / Traditional / Fiction / Mystery & Detective / International Crime & Mystery / Fiction / Crime / Fiction / World Literature / Norway","","","","","","""Detective Harry Hole is meant to keep out of trouble. A young Norwegian girl taking a gap year in Sydney has been murdered, and Harry has been sent to Australia to assist in any way he can. When the team unearths a string of unsolved murders and disappearances, nothing will stop Harry from finding out the truth.""--Publisher.","'9780099520320","Vintage Books"
"Curfew, The","Logan, T. M.","170.0","Fiction / Mystery & Detective / General / Fiction / Thrillers / Suspense","","","","","","Your son said he was home. WHY DID HE LIE? The new up-all-night thriller from the author of The Holiday, now a major NETFLIX Drama.","'9781838776732","Bonnier Books"
"Believe Me","Delaney, J. P.","160.0","Fiction / General / Fiction / Mystery & Detective / General / Fiction / Mystery & Detective / Hard-Boiled / Fiction / Mystery & Detective / Women Sleuths / Fiction / Mystery & Detective / Amateur Sleuth / Fiction / Thrillers / Suspense / Fiction / Thrillers / Psychological / Fiction / Thrillers / Technological / Fiction / City Life","","","","","","THE SENSATIONAL PSYCHOLOGICAL THRILLER FROM THE INTERNATIONALLY BESTSELLING AUTHOR OF THE GIRL BEFORE THE SUNDAY TIMES BESTSELLER THE SUNDAY TIMES BOOK OF THE MONTH 'Imaginative, unusual, clever and fun' - Sunday Times 'A twisty, exciting read' - Sabine Durrant, author of Lie With Me 'A dark, sexy mystery' - Metro ********** Claire Wright isn't who she seems. A British drama student, in New York without a green card, Claire takes the only job she can get: working for a firm of divorce lawyers, posing as an easy pick-up in hotel bars to entrap straying husbands. When one of her targets becomes the subject of a murder investigation, the police ask Claire to use her acting skills to help lure their suspect into a confession. But right from the start, she has doubts about the part she's being asked to play. Is Patrick Fogler really a killer . . . Or the only decent husband she's ever met? And is there more to this set-up than she's being told? And that's when Claire realises she's playing the deadliest role of her life . . . ********** See what everyone is saying about JP Delaney, the hottest new name in psychological thrillers: 'DAZZLING' - Lee Child 'ADDICTIVE' - Daily Express 'DEVASTATING' - Daily Mail 'INGENIOUS' - The New York Times 'COMPULSIVE' - Glamour Magazine 'ELEGANT' - Peter James 'SEXY' - Mail on Sunday 'ENTHRALLING' - Woman and Home 'ORIGINAL' - The Times 'RIVETING' - Lisa Gardner 'CREEPY' - Heat 'SATISFYING' - Reader's Digest 'SUPERIOR' - The Bookseller 'MORE THAN A MATCH FOR PAULA HAWKINS' - Sunday Times","'9781787472426","Quercus"
"Girl Before, The","Delaney, J. P.","190.0","Fiction / Mystery & Detective / General / Fiction / Mystery & Detective / Women Sleuths / Fiction / Mystery & Detective / Amateur Sleuth / Fiction / Psychological / Fiction / Thrillers / Suspense / Fiction / Thrillers / General / Fiction / Thrillers / Crime / Fiction / Thrillers / Psychological / Fiction / Thrillers / Technological / Fiction / Women","","","","","","IF YOU ONLY READ ONE BOOK THIS YEAR, MAKE IT THE GIRL BEFORE... 'An outstanding debut that is more than a match for Paula Hawkins's The Girl on the Train' Sunday Times THE SUNDAY TIMES BESTSELLER THE SUNDAY TIMES THRILLER OF THE MONTH THE SIMON MAYO RADIO 2 BOOK CLUB PICK THE NEW YORK TIMES BESTSELLER 'DAZZLING' - Lee Child 'ADDICTIVE' - Daily Express 'DEVASTATING' - Daily Mail 'INGENIOUS' - The New York Times 'COMPULSIVE' - Glamour Magazine 'ELEGANT' - Peter James 'SEXY' - Mail on Sunday 'ENTHRALLING' - Woman and Home 'ORIGINAL' - The Times 'RIVETING' - Lisa Gardner 'CREEPY' - Heat 'SATISFYING' - Reader's Digest 'SUPERIOR' - The Bookseller 'This is going to be the buzziest book of 2017 . . . This year The Girl Before will be that book' InStyle ********** Enter the world of One Folgate Street and discover perfection . . . but can you pay the price? Jane stumbles on the rental opportunity of a lifetime: the chance to live in a beautiful ultra-minimalist house designed by an enigmatic architect, on condition she abides by a long list of exacting rules. After moving in, she discovers that a previous tenant, Emma, met a mysterious death there - and starts to wonder if her own story will be a re-run of the girl before. As twist after twist catches the reader off guard, Emma's past and Jane's present become inexorably entwined in this tense, page-turning portrayal of psychological obsession. ********** Following in the footsteps of Gone Girl and The Girl on the Train, The Girl Before is being brought to the big screen by Academy Award-winning director Ron Howard.","'9781786480262","Quercus"
"Magician's Nephew, The","Lewis, C. S.|Lewis, C.S.","180.0","Juvenile Fiction / Classics","","","","","","The secret passage to the house next door leads to a fascinating adventure.","'9780064409438","HarperCollins"
"Hound of the Baskervilles, The","Doyle, Arthur Conan|Doyle, ","140.0","Fiction / Mystery & Detective / General","","","","","","","'1855873109","Fabbri Publishing"
"Doll Factory, The","Macneal, Elizabeth","180.0","Fiction / Crime","","","","","","The #1 international bestseller and The New York Times Editor's Choice ""As lush as the novels of Kate Morton and Diane Setterfield, as exciting as The Alienist and Iain Pears' An Instance of the Fingerpost, this exquisite literary thriller will intrigue book clubs and rivet fans of historical fiction."" --A.J. Finn, #1 New York Times bestselling author of The Woman in the Window ""A lush, evocative Gothic."" --The New York Times Book Review ""This terrifically exciting novel will jolt, thrill, and bewitch readers."" --Booklist, starred review Obsession is an art. In this ""sharp, scary, gorgeously evocative tale of love, art, and obsession"" (Paula Hawkins, bestselling author of The Girl on the Train), a beautiful young woman aspires to be an artist, while a man's dark obsession may destroy her world forever. Obsession is an art. In 1850s London, the Great Exhibition is being erected in Hyde Park and, among the crowd watching the dazzling spectacle, two people meet by happenstance. For Iris, an arrestingly attractive aspiring artist, it is a brief and forgettable moment. But for Silas, a curiosity collector enchanted by all things strange and beautiful, the meeting marks a new beginning. When Iris is asked to model for Pre-Raphaelite artist Louis Frost, she agrees on the condition that he will also teach her to paint. Suddenly, her world begins to expand beyond her wildest dreams--but she has no idea that evil is waiting in the shadows. Silas has only thought of one thing since that chance meeting, and his obsession is darkening by the day. ""A lush, evocative Gothic"" (The New York Times Book Review) that is ""a perfect blend of froth and substance"" (The Washington Post), The Doll Factory will haunt you long after you finish it and is perfect for fans of The Alienist, Drood, and Fingersmith.","'9781529002430","Pan Macmillan"
"Hideaway, The","O'Flanagan, Sheila","120.0","Fiction / General / Fiction / Romance / Contemporary / Fiction / Women","","","","","","'The sultry Spanish location is wonderfully escapist ... a captivating, sun-soaked read' Daily Express 'If you're seeking an escape of your own, this sunny, evocative story is the perfect place to hide away' S Magazine What would you do if you discovered you were living a lie? The No. 1 bestseller from Sheila O'Flanagan, author of THE MISSING WIFE and HER HUSBAND'S MISTAKE. Perfect for readers of Cecelia Ahern and Marian Keyes. Juno Ryan thought life was going well. The divorce is behind her, she loves her job, and she's been seeing Brad, a doctor who seems to have fallen as much in love with her as she has with him. Then one morning Brad's face appears on the TV screen in a news report. In a heartbeat, she learns the shocking truth. And knows she will never see him again. Juno's world is shattered. She's without the man she loves, and she can't see how to get the answers she needs. And so Juno flees to the enchanting Villa Naranja in Spain. The blue skies and orange groves - along with Pep, the local winemaker's handsome son - begin to soothe her broken heart. But just when she begins to feel whole again, another bombshell drops. Juno might have run away from her secrets, but the past isn't finished with her... 'A feel-good story told by a funny and down-to-earth heroine' Woman 'A hugely enjoyable romance, written with pace and heart. It will make you long to jump on a plane yourself' Sunday Mirror 'A beautiful backdrop to the story of a woman finding acceptance and new beginnings' Woman & Home 'Perfect for those lazy,hazy days' Sun 'Pure escapism' Candis 'You'll race through this warm, heart-felt read' Best 'Page-turner' Bella","'9781472235398","Headline Publishing Group"
"Cartes Postales from Greece","Hislop, Victoria","130.0","Fiction / General / Fiction / Short Stories (single author)","","","","","","*THE FIGURINE, the brand-new novel from Victoria Hislop, is available to order now.* THE NUMBER ONE SUNDAY TIMES BESTSELLER Cartes Postales from Greece is an extraordinary new book from Victoria Hislop, the Sunday Times Number One bestselling author of The Island, The Return, The Thread, and The Sunrise. A beautifully depicted love affair with Greece, and a spellbinding tale of love and loss. It is fiction with a distinctive photographic framework - magical and unique. 'Hislop's passionate love of the country breathes from every page' Daily Mail 'When it comes to tales about Greece, Hislop is an undisputed queen - and this is easily her best novel yet' Heat Week after week, the postcards arrive, addressed to someone Ellie does not know, each signed with an initial: A. These alluring cartes postales of Greece brighten her life and cast a spell on her. She decides she must see this country for herself. On the morning Ellie leaves for Athens, a notebook arrives. Its pages tell the story of a man's odyssey through Greece. Moving, surprising and sometimes dark, A's tale unfolds with the discovery not only of a culture, but also of a desire to live life to the full once more. Praise for Cartes Postales. . . 'When it comes to tales about Greecem Hislop is an undisputed queen' Heat magazine 'A lavish love letter to Greece' Sunday Mirror 'A beautiful tale of love, struggle and redemption' Prima 'This wonderful, illuminating novel is a perfect escape' Woman & Home 'This beautiful novel is illustrated with gorgeous photos to really bring the country to life' Sun on Sunday","'9781472223210","Headline Publishing Group"
"Other Family, The","Trollope, Joanna","75.0","Fiction / General / Fiction / Family Life / General","","","","","","When Richie dies unexpectedly, Chrissie must now tell the truth to their three daughters: their parents were never married. There is more shock to come when his will is read: he ever forgot the wife and son he left behind years ago. Now two families must confront their losses-- and each other.","'9780552775434","Transworld Publishers Limited"
"Marrying the Mistress","Trollope, Joanna","220.0","Fiction / General / Fiction / Sagas / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Family Life / Marriage & Divorce","","","","","","Judge Guy Stockdale was unprepared for the upheaval in his life that followed his announcement that he intended to marry his mistressna_","'9780552998727","Black Swan"
"I, Jacqueline","Lewis, Hilda Winifred|Lewis, Hilda","120.0","Fiction / Historical / General / Fiction / Literary","","","","","","The extraordinary fifteenth century life of a woman of substance who endured the power politics of the courts of England, Burgundy and France.","'9780752445649","Tempus"
"'ROLL OF THUNDER, HEAR MY CRY'","Taylor, Mildred D.","99.0","Fiction / Juvenile fiction / African Americans / Race relations / Depressions / Prejudices / Logan family (Fictitious characters : Taylor) / Blacks / Children's stories / Ficción / Southern States / Relaciones raciales / Afronorteamericanos / open_syllabus_project / The Thirties (20th century) / Discrimination / African-American families / Racism / Prejudice / Rural families / African-American children / African-American girls / Familial love / Cassie Logan (Fictitious character) / Determination (Personal quality) / 1000blackgirlbooks / Mut / Diskriminierung / Grundeigentum / African American children / Mädchen / Südstaaten / Selbstbewusstsein / Weltwirtschaftskrise / Schwarze / Newbery Medal / History / Children's fiction / African americans, fiction / Prejudices, fiction / Depressions, fiction / Mississippi, fiction / Race relations, fiction / Family life, fiction / JUVENILE FICTION / People & Places / United States / African American / JUVENILE FICTION / Historical / United States / General / Large type books / Juvenile literature / English fiction / Children's stories, English / Slavery / Stories for children / Adventure and adventurers, fiction / RURAL MISSISSIPPI / KIDS / Games, juvenile literature / Games / Classics / award:Newberry_award / award:Caldecott_award / award:Newbery_award / ","","","","","","","'9780141301648","PUFFIN"
"Woman in Black, The","Hill, Susan","130.0","Fiction / General / Fiction / Ghost / Fiction / Horror / Fiction / Media Tie-In / Fiction / Mystery & Detective / Historical / Fiction / Gothic / Fiction / Thrillers / Historical / Juvenile Fiction / Horror","","","","","","Proud and solitary, Eel Marsh House surveys the windswept reaches of the salt marshes beyond Nine Lives Causeway. Arthur Kipps, a junior solicitor, is summoned to attend the funeral of Mrs Alice Drablow, the house's sole inhabitant, unaware of the tragic secrets which lie hidden behind the shuttered windows. It is not until he glimpses a wasted young woman, dressed all in black, at the funeral, that a creeping sense of unease begins to take hold, a feeling deepened by the reluctance of the locals to talk of the woman in black.","'9780099288473","Random House UK"
"Taste of Sorrow, The","Morgan, Jude","65.0","Fiction / General / Fiction / Historical / General / Fiction / Biographical / Fiction / Family Life / Siblings","","","","","","From an obscure country parsonage came the most extraordinary family of the nineteenth century. The phenomenon of this strange explosion of genius remains as baffling now as it was to their Victorian contempories. A panoramic novel about a uniquely close-knit family whose tight bonds are the instruments of both triumph and tragedy.","'9780755339006","Headline Review"
"Spell of Winter, A","Dunmore, Helen","120.0","Fiction / General / Fiction / Family Life / Siblings","","","","","","Bestselling author Helen Dunmore's third novel, A Spell of Winter won the 1996 Orange Prize. Catherine and her brother, Rob, don't know why they have been abandoned by their parents. Incarcerated in the enormous country house of their grandfather - 'the man from nowhere' - they create a refuge against their family's dark secrets, and against the outside world as it moves towards the First World War. As time passes, their sibling love deepens and crosses into forbidden territory. But they are not as alone in the house as they believe . . . 'A marvellous novel about forbidden passions and the terrible consequences of thwarted love. Dunmore is one of the finest English writers' Daily Mail 'A hugely involving story which often stops you in your tracks with the beauty of its writing' Observer 'An electrifying and original talent, a writer whose style is characterized by a lyrical, dreamy intensity' Guardian Helen Dunmore has published eleven novels with Penguin: Zennor in Darkness , which won the McKitterick Prize; Burning Bright; A Spell of Winter, which won the Orange Prize; Talking to the Dead ; Your Blue-Eyed Boy; With Your Crooked Heart; The Siege, which was shortlisted for the 2001 Whitbread Novel of the Year Award and for the Orange Prize for Fiction 2002; Mourning Ruby; House of Orphan; Counting the Stars and The Betrayal, which was longlisted for the Man Booker Prize 2010. She is also a poet, children's novelist and short-story writer.","'9780140248814","Penguin Books"
"Fahrenheit 451","Bradbury, Ray","200.0","Fiction / Classics / Fiction / Science Fiction / General / Fiction / Media Tie-In","","","","","","Nearly seventy years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before. Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.","'9781982102609","Simon & Schuster"
"Steps to the Gallows","Marston, Edward","130.0","Fiction / Mystery & Detective / Historical / Fiction / Crime","","","","","","A scurrilous newspaper has built up a large following by publishing details of political and sexual scandals. It is remarkably well-informed and has therefore created a whole host of enemies. When the editor is killed and the printing press smashed to bits, the Invisible Detectives are hired by the man who financed the production of the paper. He wants the killer brought to justice and the scandal sheet revived. Peter and Paul Skillen find themselves in great danger as they unearth an enormous amount of scandal and corruption before the villains are brought to book.","'9780749016029","Allison & Busby"
"Time Traveler's Wife, The","Niffenegger, Audrey|Hope, William|Lefkow, Laurel","190.0","Fiction / General / Fiction / Fantasy / General / Fiction / Literary / Fiction / Media Tie-In / Fiction / Romance / General / Fiction / Romance / Time Travel / Fiction / Science Fiction / Time Travel / Fiction / Women / Fiction / Family Life / Marriage & Divorce / Fiction / Magical Realism","","","","","","This extraordinary, magical novel is the story of Clare and Henry who have known each other since Clare was six and Henry was thirty-six, and were married when Clare was twenty-two and Henry thirty. Impossible but true, because Henry is one of the first p","'9780099464464","Vintage"
"Time Traveler's Wife, The","Niffenegger, Audrey|Hope, William|Lefkow, Laurel","190.0","Fiction / General / Fiction / Fantasy / General / Fiction / Literary / Fiction / Media Tie-In / Fiction / Romance / General / Fiction / Romance / Time Travel / Fiction / Science Fiction / Time Travel / Fiction / Women / Fiction / Family Life / Marriage & Divorce / Fiction / Magical Realism","","","","","","This extraordinary, magical novel is the story of Clare and Henry who have known each other since Clare was six and Henry was thirty-six, and were married when Clare was twenty-two and Henry thirty. Impossible but true, because Henry is one of the first p","'9780099464464","Vintage"
"Time Traveler's Wife, The","Niffenegger, Audrey|Hope, William|Lefkow, Laurel","190.0","Fiction / General / Fiction / Fantasy / General / Fiction / Literary / Fiction / Media Tie-In / Fiction / Romance / General / Fiction / Romance / Time Travel / Fiction / Science Fiction / Time Travel / Fiction / Women / Fiction / Family Life / Marriage & Divorce / Fiction / Magical Realism","","","","","","This extraordinary, magical novel is the story of Clare and Henry who have known each other since Clare was six and Henry was thirty-six, and were married when Clare was twenty-two and Henry thirty. Impossible but true, because Henry is one of the first p","'9780099464464","Vintage"
"Time Traveler's Wife, The","Niffenegger, Audrey|Hope, William|Lefkow, Laurel","190.0","Fiction / General / Fiction / Fantasy / General / Fiction / Literary / Fiction / Media Tie-In / Fiction / Romance / General / Fiction / Romance / Time Travel / Fiction / Science Fiction / Time Travel / Fiction / Women / Fiction / Family Life / Marriage & Divorce / Fiction / Magical Realism","","","","","","This extraordinary, magical novel is the story of Clare and Henry who have known each other since Clare was six and Henry was thirty-six, and were married when Clare was twenty-two and Henry thirty. Impossible but true, because Henry is one of the first p","'9780099464464","Vintage"
"Death of a Dustman","Beaton, M. C.|Chesney, Marion","99.0","Fiction / Mystery & Detective / General / Fiction / Crime","","","","","","Grime and punishment . . . When Fergus Macleod, Lochdubh's abusive, drunk dustman is put in charge of the local recycling centre and is dubbed 'Environment Officer', Hamish Macbeth smells trouble. Sure enough, Fergus, imbued with his new powers, becomes a bullying tyrant and when his body is found stuffed in a recycling bin, no one is sorry - including his long-suffering family. But Hamish is surprised to find that many of the despicable dustman's victims refuse to talk - and when violence strikes again, the lanky lawman must quickly unearth the culprit among a litter of suspects . . . before the killer makes a clean getaway! Praise for M.C. Beaton: 'The books are a delight: clever, intricate, sardonic and amazingly true to the real Highlands' Kerry Greenwood 'It's always a special treat to return to Lochdubh' New York Times","'9781472124524","Little, Brown Book Group Limited"
"Highland Christmas","Beaton, M. C.|Chesney, Marion","89.0","Detective and mystery stories","","","","","","In dark, wintry Lochdubh, Christmas Cheer is about as welcome as a flat tyre on a deserted road. The Calvinist element in town has always resisted what they view as secular frivolity, so for most of the townsfolk there'll be no carols, feasting, gifts - or even whisky on Christmas Day!And for PC Hamish Macbeth there's no holiday from crime - he finds himself hunting for a missing cat belonging to a lonely spinster. Curt and unfriendly, the woman is convinced her pet has been stolen but once behind her heavily-bolted door, Hamish can spot her true problem - she lives in fear, though of who or what he cannot guess.Then someone steals a Christmas tree and lights from the nearby village of Cnothan. So it is up to Hamish to sort all these problems out - and he had better do it quickly, for the church bells will soon peal on the eve of Christmas.This one-off standalone story is a special Christmas treat for all fans of Hamish Macbeth and can be read at any point in the ongoing series.Praise for the Hamish Macbeth series:'First rate ... deft social comedy and wonderfully realized atmosphere.' Booklist'It's always a treat to return to Lochdubh.' New York Times'Readers will enjoy the quirks and unique qualities of the cast ... Beaton catches the beauty of the area's natural geography and succinctly describes its distinct flavour.' Library Journal'Befuddled, earnest and utterly endearing, Hamish makes his triumphs sweetly satisfying.' Publishers Weekly","'9781472111173","C & R Crime"
"Mary Queen of Scots","Fraser, Antonia","200.0","Great Britain","","","","","","Mary Queen of Scots passed her childhood in France and married the Dauphin to become Queen of France at the age of sixteen. Widowed less than two years later, she returned to Scotland as Queen after an absence of thirteen years. Her life then entered its best known phase: the early struggles with John Knox and the unruly Scottish nobility; the fatal marriage to Darnley and his mysterious death; her marriage to Bothwell, the chief suspect, that led directly to her long English captivity at the hands of Queen Elizabeth; the poignant and extraordinary story of her long imprisonment that ended with the labyrinthine Babington plot to free her, and her execution at the age of forty-four.","'9781842126349","Phoenix"
"Mary Queen of Scots","Guy, John","130.0","Biography & Autobiography / Cultural, Ethnic & Regional / General / Biography & Autobiography / Historical / Biography & Autobiography / Political / Biography & Autobiography / Royalty / Biography & Autobiography / Women / History / Europe / Great Britain / General / History / Europe / Great Britain / Tudor & Elizabethan Era (1485-1603) / History / Europe / Great Britain / Scotland / History / Europe / Medieval / History / Europe / Renaissance / Political Science / Political Process / Leadership","","","","","","Now a major film, this is a dramatic reinterpretation of the life of Mary Queen of Scots by one of the leading historians of this period. Who was the real Mary Queen of Scots? The most enigmatic ruler of England lived a life of incredible drama and turmoil: crowned Queen of Scotland at nine months old, and Queen of France at sixteen years, she grew up in the crosshairs of Europe's political battles to become Queen Elizabeth's arch rival. This book tells the story of the fraught and dangerous relationship between these two women of incredible charisma and power - a relationship that began with both seeking a political settlement, but which led them down a path of danger, from which only one could emerge victorious. Previously published as 'My Heart is My Own'.","'9780008304904","HarperCollins Publishers Australia"
"Killer in the Kremlin","Sweeney, John","120.0","Political Science / Geopolitics / Political Science / Genocide & War Crimes / Political Science / World / Russian & Soviet","","","","","","'An extraordinarily prescient and fascinating book.' - NIHAL ARTHANAYAKE 'This swashbuckling book is a furious attack on the Russian president. Killer in the Kremlin traces Putin's bloody career... a life littered with corpses.' - THE TIMES THE INSTANT SUNDAY TIMES BESTSELLER A gripping and explosive account of Vladimir Putin's tyranny, charting his rise from spy to tsar, exposing the events that led to his invasion of Ukraine and his assault on Europe. In Killer in the Kremlin, award-winning journalist John Sweeney takes readers from the heart of Putin's Russia to the killing fields of Chechnya, to the embattled cities of an invaded Ukraine. In a disturbing exposé of Putin's sinister ambition, Sweeney draws on thirty years of his own reporting - from the Moscow apartment bombings to the atrocities committed by the Russian Army in Chechnya, to the annexation of Crimea and a confrontation with Putin over the shooting down of flight MH17 - to understand the true extent of Putin's long war. Drawing on eyewitness accounts and compelling testimony from those who have suffered at Putin's hand, we see the heroism of the Russian opposition, the bravery of the Ukrainian resistance, and the brutality with which the Kremlin responds to such acts of defiance, assassinating or locking away its critics, and stopping at nothing to achieve its imperialist aims. In the midst of one of the darkest acts of aggression in modern history - Russia's invasion of Ukraine - this book shines a light on Putin's rule and poses urgent questions about how the world must respond. ---------------- 'No one in the world will forgive you for killing peaceful people.' - VOLODYMYR ZELENSKIY, PRESIDENT OF UKRAINE","'9781804991206","National Geographic Books"
"Daughters of War","Jefferies, Dinah|Dinah, Jefferies","99.0","Fiction / General / Fiction / Action & Adventure / Fiction / Historical / 20th Century / World War II / Fiction / Literary / Fiction / Romance / Historical / General / Fiction / Romance / Historical / 20th Century","","","","","","The first book in a brand new sweeping historical series from the No.1 Sunday Times bestselling author. Available to pre-order now!","'9780008427023","HarperCollinsPublishers"
"1979","McDermid, Val","100.0","Fiction / Mystery & Detective / General / Fiction / Mystery & Detective / Women Sleuths / Fiction / Mystery & Detective / Amateur Sleuth / Fiction / Thrillers / Suspense / Fiction / Thrillers / General / Fiction / Thrillers / Crime / Fiction / Thrillers / Psychological / Fiction / Crime / Fiction / World Literature / England / 21st Century","","","","","","THE FIRST IN A THRILLING NEW SERIES FROM THE NO.1 BESTSELLER Karen Pirie returns . . . Pre-order Past Lying, the eagerly-awaited new Karen Pirie thriller, publishing October 2023 ____________________ She's on the hunt for a killer story . . . 1979. It's the winter of discontent, and Allie Burns is chasing her first big scoop. One of few women in the newsroom, she needs something explosive for the boys' club to take her seriously. Soon Allie and fellow reporter Danny Sullivan are making powerful enemies with their investigations - and Allie won't stop there. When she discovers a terrorist threat close to home, she devises a dangerous plan to make her name. But Allie is a woman in a man's world . . . and putting a foot wrong could be fatal. ____________________ 'A supremo of the genre at the height of her powers' PETER JAMES 'The Queen of Crime has delivered another masterpiece' DAVID BALDACCI 'Allie is a fabulous character, I'll go wherever she takes me' MARIAN KEYES 'A thrilling snapshot of a fascinating era' JANE HARPER 'McDermid at her nail-biting, heart-rending best' CHRIS WHITAKER 'Her best book in years' THE TIMES, BOOK OF THE MONTH 'Allie Burns is off to a flying start, and well worth following' SCOTSMAN 'A perfect snapshot of the social and political issues of the time' LINWOOD BARCLAY 'Full of wit, thrills and incisive social observation and features a marvellous new character' MICK HERRON 'I have been reading Val McDermid for twenty-five years, so I am really saying something when I tell you I enjoyed this novel the most' CHRIS BROOKMYRE 'The good news is that this excellent novel marks the start of a new series' GUARDIAN 'Brilliant characters, masterful plotting' CHRIS HAMMER 'An excellent opener to what promises to be an outstanding series' SPECTATOR 'The fast-paced storytelling flows irresistibly' IRISH TIMES 'Riveting' DAILY EXPRESS 'Sensational. One of Britain's most accomplished writers' SUNDAY EXPRESS 'A nail-biting new series' OBSERVER","'9780751583076","Little, Brown Book Group Limited"
